232342555.096681,303685543.974823,115717867.934881,2152.61159193516,-1627.51997238398,-36.1813163459301
232344707.708272,303683916.454851,115717831.753565,2152.61159193516,-1627.51997238398,-36.1813163459301
232346860.283648,303682288.946403,115717795.557701,2152.57537585497,-1627.50844782591,-36.1958641260862
232349012.847425,303680661.422879,115717759.361734,2152.56377655268,-1627.52352446318,-36.1959672421217
232351165.424819,303679033.857115,115717723.18039,2152.57739460468,-1627.5657632947,-36.1813433915377
232353317.966009,303677406.302874,115717686.984505,2152.54118931293,-1627.55424124002,-36.1958853155375
232355470.520624,303675778.706579,115717650.803143,2152.55461502075,-1627.59629482031,-36.1813619434834
232357623.024986,303674151.132557,115717614.6072,2152.5043617487,-1627.57402253151,-36.1959433406591
232359775.556798,303672523.505736,115717578.425818,2152.53181236982,-1627.62682062387,-36.1813818514347
232361928.052414,303670895.890435,115717542.229899,2152.49561652541,-1627.61530125141,-36.195918738842
